0,norms
"other vegetables,frozen potato products,coffee,salty snack,specialty chocolate,shopping bags","coffee,frozen potato products,other vegetables,salty snack,shopping bags,specialty chocolate"
soda,soda
soda,soda
pastry,pastry
"ham,frozen potato products,white bread,pastry,cat food,bottled water,soda,candy,sound storage medium,shopping bags","bottled water,candy,cat food,frozen potato products,ham,pastry,shopping bags,soda,sound storage medium,white bread"
"frankfurter,citrus fruit,canned vegetables,coffee","canned vegetables,citrus fruit,coffee,frankfurter"
"soda,specialty chocolate,newspapers","newspapers,soda,specialty chocolate"
"whole milk,UHT-milk,domestic eggs,newspapers","domestic eggs,newspapers,uht milk,whole milk"
whole milk,whole milk
"misc. beverages,canned beer,shopping bags","canned beer,misc beverages,shopping bags"
"root vegetables,other vegetables,whole milk,specialty bar,dishes","dishes,other vegetables,root vegetables,specialty bar,whole milk"
"other vegetables,margarine","margarine,other vegetables"
butter,butter
"bottled beer,chocolate,specialty bar","bottled beer,chocolate,specialty bar"
"whole milk,pastry,flour,salt,vinegar","flour,pastry,salt,vinegar,whole milk"
"pip fruit,berries","berries,pip fruit"
male cosmetics,male cosmetics
"meat,turkey,citrus fruit,tropical fruit,herbs,other vegetables,frozen meals,shopping bags","citrus fruit,frozen meals,herbs,meat,other vegetables,shopping bags,tropical fruit,turkey"
"bottled water,soda,dishes","bottled water,dishes,soda"
"pastry,syrup","pastry,syrup"
"sausage,whole milk,yogurt,sliced cheese,rolls/buns,coffee,soda,canned beer,specialty bar","canned beer,coffee,rolls buns,sausage,sliced cheese,soda,specialty bar,whole milk,yogurt"
"pork,pip fruit,other vegetables,butter,rice,margarine,soda,waffles,shopping bags","butter,margarine,other vegetables,pip fruit,pork,rice,shopping bags,soda,waffles"
packaged fruit/vegetables,packaged fruit vegetables
"other vegetables,pet care","other vegetables,pet care"
misc. beverages,misc beverages
whole milk,whole milk
"pip fruit,whole milk,domestic eggs,margarine,soda,chocolate,napkins","chocolate,domestic eggs,margarine,napkins,pip fruit,soda,whole milk"
liquor,liquor
"whole milk,pastry,vinegar","pastry,vinegar,whole milk"
canned beer,canned beer
photo/film,photo film
"tropical fruit,grapes,onions,other vegetables,yogurt,domestic eggs,oil,pudding powder,pickled vegetables,salty snack,waffles,specialty bar","domestic eggs,grapes,oil,onions,other vegetables,pickled vegetables,pudding powder,salty snack,specialty bar,tropical fruit,waffles,yogurt"
"domestic eggs,misc. beverages","domestic eggs,misc beverages"
"meat,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,seasonal products,shopping bags","domestic eggs,meat,root vegetables,seasonal products,shopping bags,whipped sour cream,whole milk,yogurt"
"meat,whipped/sour cream,coffee,chewing gum,dishes","chewing gum,coffee,dishes,meat,whipped sour cream"
"pork,root vegetables,cream cheese,frozen fish,flour,sugar,decalcifier,shopping bags","cream cheese,decalcifier,flour,frozen fish,pork,root vegetables,shopping bags,sugar"
"rolls/buns,bottled beer","bottled beer,rolls buns"
coffee,coffee
canned beer,canned beer
butter milk,butter milk
bottled water,bottled water
"organic sausage,citrus fruit,whole milk,whipped/sour cream,hard cheese,rolls/buns,pastry,bottled beer,long life bakery product,detergent,napkins,house keeping products,candles","bottled beer,candles,citrus fruit,detergent,hard cheese,house keeping products,long life bakery product,napkins,organic sausage,pastry,rolls buns,whipped sour cream,whole milk"
napkins,napkins
"organic sausage,pip fruit,root vegetables,other vegetables,pastry,salty snack,dishes","dishes,organic sausage,other vegetables,pastry,pip fruit,root vegetables,salty snack"
"tropical fruit,pip fruit,other vegetables,whole milk,ice cream,pastry,red/blush wine","ice cream,other vegetables,pastry,pip fruit,red blush wine,tropical fruit,whole milk"
chocolate marshmallow,chocolate marshmallow
"frankfurter,root vegetables,packaged fruit/vegetables,soda,hygiene articles","frankfurter,hygiene articles,packaged fruit vegetables,root vegetables,soda"
cling film/bags,cling film bags
bottled beer,bottled beer
"citrus fruit,tropical fruit,pip fruit,yogurt,pastry,margarine,cat food,pet care,bottled water,chocolate,specialty bar,dental care,napkins","bottled water,cat food,chocolate,citrus fruit,dental care,margarine,napkins,pastry,pet care,pip fruit,specialty bar,tropical fruit,yogurt"
"liquor,specialty bar","liquor,specialty bar"
"brown bread,bottled water,soda,canned beer","bottled water,brown bread,canned beer,soda"
ice cream,ice cream
newspapers,newspapers
"processed cheese,rolls/buns,detergent,dish cleaner,flower soil/fertilizer","detergent,dish cleaner,flower soil fertilizer,processed cheese,rolls buns"
"chicken,tropical fruit,pip fruit,other vegetables,whole milk,whipped/sour cream,frozen vegetables,coffee","chicken,coffee,frozen vegetables,other vegetables,pip fruit,tropical fruit,whipped sour cream,whole milk"
"tropical fruit,other vegetables,rolls/buns,white bread,bottled beer,potted plants","bottled beer,other vegetables,potted plants,rolls buns,tropical fruit,white bread"
"whole milk,pickled vegetables,bottled water,fruit/vegetable juice,candy","bottled water,candy,fruit vegetable juice,pickled vegetables,whole milk"
"citrus fruit,specialty bar","citrus fruit,specialty bar"
bottled beer,bottled beer
"sausage,finished products,beef,citrus fruit,onions,other vegetables,whole milk,dessert,frozen dessert,brown bread,canned vegetables,canned fruit,soda","beef,brown bread,canned fruit,canned vegetables,citrus fruit,dessert,finished products,frozen dessert,onions,other vegetables,sausage,soda,whole milk"
"sausage,other vegetables,semi-finished bread,soda","other vegetables,sausage,semi finished bread,soda"
"pip fruit,rolls/buns,bottled water,soda,specialty chocolate","bottled water,pip fruit,rolls buns,soda,specialty chocolate"
"other vegetables,misc. beverages,fruit/vegetable juice,long life bakery product,shopping bags","fruit vegetable juice,long life bakery product,misc beverages,other vegetables,shopping bags"
"sausage,other vegetables,spread cheese,rolls/buns,soda,salty snack,long life bakery product","long life bakery product,other vegetables,rolls buns,salty snack,sausage,soda,spread cheese"
"tropical fruit,whole milk,ice cream","ice cream,tropical fruit,whole milk"
"pastry,sugar,coffee,liquor (appetizer)","coffee,liquor appetizer ,pastry,sugar"
"coffee,napkins","coffee,napkins"
"ham,meat,whole milk,dessert,butter milk,whipped/sour cream,sliced cheese,rolls/buns,soda,fruit/vegetable juice","butter milk,dessert,fruit vegetable juice,ham,meat,rolls buns,sliced cheese,soda,whipped sour cream,whole milk"
liquor,liquor
"sausage,pork,tropical fruit,other vegetables,yogurt,bottled beer,red/blush wine,dishes","bottled beer,dishes,other vegetables,pork,red blush wine,sausage,tropical fruit,yogurt"
"frozen chicken,fruit/vegetable juice,bottled beer,shopping bags","bottled beer,frozen chicken,fruit vegetable juice,shopping bags"
"frankfurter,sausage,ham,hard cheese,processed cheese","frankfurter,ham,hard cheese,processed cheese,sausage"
"bottled water,canned beer","bottled water,canned beer"
canned beer,canned beer
other vegetables,other vegetables
bottled water,bottled water
"berries,root vegetables,packaged fruit/vegetables,whipped/sour cream,UHT-milk,instant coffee","berries,instant coffee,packaged fruit vegetables,root vegetables,uht milk,whipped sour cream"
"dessert,fruit/vegetable juice,nut snack,specialty bar","dessert,fruit vegetable juice,nut snack,specialty bar"
"pip fruit,sweet spreads","pip fruit,sweet spreads"
"pork,packaged fruit/vegetables,whole milk,white bread,liquor,chocolate marshmallow","chocolate marshmallow,liquor,packaged fruit vegetables,pork,white bread,whole milk"
"frankfurter,root vegetables,butter milk,rolls/buns,semi-finished bread,ready soups,bottled water,misc. beverages,shopping bags","bottled water,butter milk,frankfurter,misc beverages,ready soups,rolls buns,root vegetables,semi finished bread,shopping bags"
"bottled water,misc. beverages,liquor,chewing gum","bottled water,chewing gum,liquor,misc beverages"
"tropical fruit,other vegetables,whipped/sour cream,white bread","other vegetables,tropical fruit,whipped sour cream,white bread"
"pip fruit,white bread,coffee,soda,fruit/vegetable juice,bottled beer,sparkling wine","bottled beer,coffee,fruit vegetable juice,pip fruit,soda,sparkling wine,white bread"
"tropical fruit,UHT-milk,pastry,chocolate,napkins,shopping bags","chocolate,napkins,pastry,shopping bags,tropical fruit,uht milk"
"bottled beer,liquor","bottled beer,liquor"
candles,candles
"spread cheese,soda","soda,spread cheese"
"pork,tropical fruit,herbs,whole milk,ice cream,chocolate marshmallow,candy,toilet cleaner,dental care","candy,chocolate marshmallow,dental care,herbs,ice cream,pork,toilet cleaner,tropical fruit,whole milk"
"canned beer,white wine","canned beer,white wine"
"pork,bottled water,rum,white wine,flower (seeds)","bottled water,flower seeds ,pork,rum,white wine"
"beverages,frozen vegetables,coffee,soda,fruit/vegetable juice,cling film/bags","beverages,cling film bags,coffee,frozen vegetables,fruit vegetable juice,soda"
"sausage,beef,tropical fruit,onions,frozen vegetables,domestic eggs,white bread,semi-finished bread,sugar,baking powder,canned fish,coffee,seasonal products","baking powder,beef,canned fish,coffee,domestic eggs,frozen vegetables,onions,sausage,seasonal products,semi finished bread,sugar,tropical fruit,white bread"
"tropical fruit,yogurt,whipped/sour cream","tropical fruit,whipped sour cream,yogurt"
UHT-milk,uht milk
"soda,salty snack,specialty bar,candy","candy,salty snack,soda,specialty bar"
"ham,hamburger meat,whole milk,yogurt,domestic eggs,white bread,Instant food products,chocolate","chocolate,domestic eggs,ham,hamburger meat,instant food products,white bread,whole milk,yogurt"
"white wine,specialty bar","specialty bar,white wine"
"UHT-milk,pastry,waffles","pastry,uht milk,waffles"
"sausage,pip fruit,whole milk,sliced cheese,frozen vegetables,frozen meals,napkins,shopping bags","frozen meals,frozen vegetables,napkins,pip fruit,sausage,shopping bags,sliced cheese,whole milk"
"whisky,chewing gum","chewing gum,whisky"
"misc. beverages,bottled beer,white wine","bottled beer,misc beverages,white wine"
white wine,white wine
"soda,fruit/vegetable juice","fruit vegetable juice,soda"
"margarine,misc. beverages","margarine,misc beverages"
"other vegetables,yogurt,soft cheese,domestic eggs,brown bread,roll products,cat food,coffee,bottled water,canned beer,specialty chocolate,specialty bar,detergent,softener,napkins,shopping bags","bottled water,brown bread,canned beer,cat food,coffee,detergent,domestic eggs,napkins,other vegetables,roll products,shopping bags,soft cheese,softener,specialty bar,specialty chocolate,yogurt"
"chicken,root vegetables,whole milk,butter milk,rolls/buns,soda,dish cleaner,baby cosmetics,kitchen towels","baby cosmetics,butter milk,chicken,dish cleaner,kitchen towels,rolls buns,root vegetables,soda,whole milk"
"other vegetables,coffee,bottled water,salty snack","bottled water,coffee,other vegetables,salty snack"
"sausage,pork,other vegetables,rolls/buns,pickled vegetables,specialty bar,shopping bags","other vegetables,pickled vegetables,pork,rolls buns,sausage,shopping bags,specialty bar"
"pastry,chocolate,candles","candles,chocolate,pastry"
"processed cheese,ketchup,seasonal products","ketchup,processed cheese,seasonal products"
"rolls/buns,potted plants","potted plants,rolls buns"
"chicken,whipped/sour cream,ice cream,frozen potato products,soda,candy,shopping bags","candy,chicken,frozen potato products,ice cream,shopping bags,soda,whipped sour cream"
"berries,soda,long life bakery product,specialty chocolate","berries,long life bakery product,soda,specialty chocolate"
"frankfurter,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,oil,bottled water,soda,canned beer,shopping bags","bottled water,canned beer,chicken,domestic eggs,frankfurter,oil,other vegetables,pastry,pip fruit,rolls buns,root vegetables,shopping bags,soda,tropical fruit,whole milk,yogurt"
"whole milk,yogurt","whole milk,yogurt"
"pip fruit,berries,whole milk,yogurt,hard cheese,frozen vegetables,popcorn","berries,frozen vegetables,hard cheese,pip fruit,popcorn,whole milk,yogurt"
soda,soda
"soda,fruit/vegetable juice,waffles","fruit vegetable juice,soda,waffles"
"yogurt,ice cream,soda,long life bakery product,candy","candy,ice cream,long life bakery product,soda,yogurt"
"pork,root vegetables,other vegetables,dessert,condensed milk,hard cheese,specialty cheese,frozen vegetables,ice cream,pickled vegetables,canned fish,cat food,salty snack,nut snack,waffles,seasonal products","canned fish,cat food,condensed milk,dessert,frozen vegetables,hard cheese,ice cream,nut snack,other vegetables,pickled vegetables,pork,root vegetables,salty snack,seasonal products,specialty cheese,waffles"
onions,onions
liquor,liquor
onions,onions
"beef,bottled beer,cake bar","beef,bottled beer,cake bar"
"rolls/buns,pickled vegetables,coffee,bottled water,red/blush wine","bottled water,coffee,pickled vegetables,red blush wine,rolls buns"
"frankfurter,tropical fruit,domestic eggs,rolls/buns,soda,fruit/vegetable juice","domestic eggs,frankfurter,fruit vegetable juice,rolls buns,soda,tropical fruit"
"sausage,hamburger meat,rolls/buns,soda","hamburger meat,rolls buns,sausage,soda"
"whole milk,bottled water","bottled water,whole milk"
"pork,whole milk,dessert,frozen vegetables,bottled water,cleaner","bottled water,cleaner,dessert,frozen vegetables,pork,whole milk"
whole milk,whole milk
"bottled water,fruit/vegetable juice","bottled water,fruit vegetable juice"
shopping bags,shopping bags
"citrus fruit,pastry","citrus fruit,pastry"
"meat,root vegetables,whole milk","meat,root vegetables,whole milk"
"sausage,tropical fruit,berries,whole milk,butter,rolls/buns,roll products,vinegar,sugar,jam,candles","berries,butter,candles,jam,roll products,rolls buns,sausage,sugar,tropical fruit,vinegar,whole milk"
